sampledate,sampletime,do_wtemp,pco2_ppm,ph
2019-9-1,12:09:00,22.85,110.50,8.75
2019-9-1,12:10:00,22.85,111.00,8.75
2019-9-1,12:11:00,22.90,112.70,8.75
2019-9-1,12:12:00,22.90,111.00,8.75
2019-9-1,12:13:00,22.91,104.20,8.75
2019-9-1,12:14:00,22.91,111.60,8.75
2019-9-1,12:15:00,22.30,109.90,8.78
2019-9-1,12:16:00,22.30,99.70,8.78
2019-9-1,12:17:00,22.39,111.60,8.77
2019-9-1,12:18:00,22.39,111.60,8.77
2019-9-1,12:19:00,22.97,108.20,8.76
2019-9-1,12:20:00,22.97,110.50,8.76
2019-9-1,12:21:00,22.87,109.30,8.76
2019-9-1,12:22:00,22.87,107.10,8.76
2019-9-1,12:23:00,22.86,108.20,8.76
2019-9-1,12:24:00,22.86,111.00,8.76
2019-9-1,12:25:00,22.93,113.80,8.76
2019-9-1,12:26:00,22.93,111.60,8.76
2019-9-1,12:27:00,22.93,108.20,8.77
2019-9-1,12:28:00,22.93,110.50,8.77
2019-9-1,12:29:00,22.92,118.40,8.77
2019-9-1,12:30:00,22.92,105.90,8.77
2019-9-1,12:31:00,22.98,103.70,8.77
2019-9-1,12:32:00,22.98,102.50,8.77
2019-9-1,12:33:00,23.08,108.20,8.77
2019-9-1,12:34:00,23.08,120.60,8.77
2019-9-1,12:35:00,23.14,107.10,8.76
2019-9-1,12:36:00,23.14,99.20,8.76
2019-9-1,12:37:00,23.11,104.80,8.76
2019-9-1,12:38:00,23.11,105.90,8.76
2019-9-1,12:39:00,23.10,107.60,8.76
2019-9-1,12:40:00,23.10,109.90,8.76
2019-9-1,12:41:00,23.12,109.90,8.76
2019-9-1,12:42:00,23.12,102.00,8.76
2019-9-1,12:43:00,23.12,102.50,8.76
2019-9-1,12:44:00,23.12,103.70,8.76
2019-9-1,12:45:00,23.31,95.80,8.76
2019-9-1,12:46:00,23.31,105.90,8.76
2019-9-1,12:47:00,23.28,103.70,8.76
2019-9-1,12:48:00,23.28,98.00,8.76
2019-9-1,12:49:00,23.30,99.20,8.76
2019-9-1,12:50:00,23.30,100.30,8.76
2019-9-1,12:51:00,23.37,101.40,8.76
2019-9-1,12:52:00,23.37,102.50,8.76
2019-9-1,12:53:00,23.38,101.40,8.76
2019-9-1,12:54:00,23.38,105.90,8.76
2019-9-1,12:55:00,23.42,96.90,8.76
2019-9-1,12:56:00,23.42,91.20,8.76
2019-9-1,12:57:00,23.33,92.40,8.76
2019-9-1,12:58:00,23.33,92.40,8.76
2019-9-1,12:59:00,23.29,92.40,8.77
2019-9-1,13:00:00,23.29,93.50,8.77
2019-9-1,13:01:00,23.30,92.40,8.77
2019-9-1,13:02:00,23.30,95.80,8.77
2019-9-1,13:03:00,23.41,92.40,8.77
2019-9-1,13:04:00,23.41,90.10,8.77
2019-9-1,13:05:00,23.32,95.80,8.77
2019-9-1,13:06:00,23.32,90.10,8.77
2019-9-1,13:07:00,23.37,92.40,8.77
2019-9-1,13:08:00,23.37,93.50,8.77
2019-9-1,13:09:00,23.08,92.90,8.78
2019-9-1,13:10:00,23.08,93.50,8.78
2019-9-1,13:11:00,23.05,86.70,8.79
2019-9-1,13:12:00,23.05,89.50,8.79
2019-9-1,13:13:00,22.96,92.90,8.80
2019-9-1,13:14:00,22.96,85.60,8.80
2019-9-1,13:15:00,23.16,86.20,8.79
2019-9-1,13:16:00,23.16,86.20,8.79
2019-9-1,13:17:00,23.54,86.70,8.77
2019-9-1,13:18:00,23.54,89.00,8.77
2019-9-1,13:19:00,23.48,87.90,8.78
2019-9-1,13:20:00,23.48,83.30,8.78
2019-9-1,13:21:00,23.48,84.50,8.78
2019-9-1,13:22:00,23.48,87.90,8.78
2019-9-1,13:23:00,23.61,83.30,8.77
2019-9-1,13:24:00,23.61,86.70,8.77
2019-9-1,13:25:00,23.48,84.50,8.78
2019-9-1,13:26:00,23.48,92.40,8.78
2019-9-1,13:27:00,23.61,84.50,8.78
2019-9-1,13:28:00,23.61,82.20,8.78
2019-9-1,13:29:00,23.57,78.80,8.78
2019-9-1,13:30:00,23.57,84.50,8.78
2019-9-1,13:31:00,23.55,78.20,8.78
2019-9-1,13:32:00,23.55,78.80,8.78
2019-9-1,13:33:00,23.65,77.70,8.78
