timeStamp,lux,pHcorr,tempCorr,thermTemp
2019-09-24 16:04:54,313.29,6.94,27.20,23.73
2019-09-24 16:06:57,330.39,6.94,27.07,23.47
2019-09-24 16:07:27,310.18,6.94,26.95,22.16
2019-09-24 16:10:00,264.10,6.94,26.76,22.34
2019-09-24 16:12:25,237.37,6.95,26.14,23.38
2019-09-24 16:26:55,207.07,6.97,24.39,21.82
2019-09-24 16:33:33,124.47,6.97,24.26,21.47
2019-09-24 16:35:51,41.99,6.97,24.32,21.82
2019-09-24 16:50:20,79.55,6.98,24.70,22.86
2019-09-24 17:04:50,72.63,6.98,24.45,22.16
2019-09-24 17:19:20,69.81,6.98,24.39,21.73
2019-09-24 17:33:50,66.59,6.98,24.45,21.64
2019-09-24 17:48:20,5.07,6.98,24.32,21.90
2019-09-24 18:02:49,3.92,7.00,24.20,22.08
2019-09-24 18:17:19,4.15,7.00,24.01,21.99
2019-09-24 18:31:49,1.09,7.00,23.82,21.38
2019-09-24 18:46:19,0.12,7.00,23.70,21.56
2019-09-24 19:00:49,0.06,7.00,23.57,21.38
2019-09-24 19:15:18,0.00,7.02,23.39,20.61
2019-09-24 19:29:48,0.00,7.02,23.26,21.13
2019-09-24 19:44:18,0.00,7.02,23.01,20.95
2019-09-24 19:58:48,0.00,7.02,22.76,20.35
2019-09-24 20:13:18,0.00,7.03,22.39,20.52
2019-09-24 20:27:48,0.00,7.03,22.32,20.09
2019-09-24 20:42:17,0.00,7.03,21.89,20.26
2019-09-24 20:56:47,0.00,7.03,21.95,19.66
2019-09-24 21:11:17,0.00,7.05,21.57,19.32
2019-09-24 21:25:47,0.00,7.05,21.82,19.23
2019-09-24 21:40:17,0.00,7.05,21.51,19.06
2019-09-24 21:54:47,0.00,7.05,21.39,19.83
2019-09-24 22:09:17,0.12,7.05,21.32,19.57
2019-09-24 22:23:47,0.00,7.05,21.39,19.06
2019-09-24 22:38:17,0.00,7.05,21.39,19.66
2019-09-24 22:52:46,0.00,7.05,21.39,19.57
2019-09-24 23:07:16,0.00,7.05,21.26,19.32
2019-09-24 23:21:46,0.00,7.05,21.26,19.06
2019-09-24 23:36:16,0.00,7.06,21.14,18.88
2019-09-24 23:50:46,0.00,7.06,20.76,18.88
2019-09-25 00:05:16,0.00,7.06,20.45,18.37
2019-09-25 00:19:46,0.00,7.06,19.76,17.68
2019-09-25 00:34:16,0.00,7.08,19.76,17.94
2019-09-25 00:48:46,0.00,7.08,19.95,18.02
2019-09-25 01:03:16,0.00,7.08,19.89,18.63
2019-09-25 01:17:46,0.00,7.08,19.82,18.45
2019-09-25 01:32:16,0.00,7.08,19.95,18.80
2019-09-25 01:46:46,0.00,7.08,20.01,18.54
2019-09-25 02:01:16,0.00,7.08,20.01,17.85
2019-09-25 02:15:46,0.00,7.08,20.07,18.71
2019-09-25 02:30:16,0.00,7.08,20.01,18.45
2019-09-25 02:44:45,0.00,7.08,20.07,18.97
2019-09-25 02:59:15,0.00,7.08,20.14,18.63
2019-09-25 03:13:45,0.00,7.08,20.14,18.11
2019-09-25 03:28:15,0.00,7.08,20.20,18.71
2019-09-25 03:42:45,0.00,7.08,20.14,18.45
2019-09-25 03:57:15,0.00,7.08,20.20,18.37
2019-09-25 04:11:45,0.00,7.08,20.07,18.37
2019-09-25 04:26:15,0.00,7.09,19.95,18.28
2019-09-25 04:40:45,0.00,7.09,19.95,18.02
2019-09-25 04:55:15,0.00,7.09,19.89,17.85
2019-09-25 05:09:45,0.00,7.09,19.89,18.28
2019-09-25 05:24:15,0.00,7.09,19.89,17.59
2019-09-25 05:38:45,0.00,7.09,19.82,17.59
2019-09-25 05:53:15,0.00,7.09,19.82,18.11
2019-09-25 06:07:45,0.00,7.09,19.76,18.11
2019-09-25 06:22:15,0.00,7.09,19.70,17.51
2019-09-25 06:36:45,0.06,7.09,19.64,18.20
2019-09-25 06:51:14,0.63,7.09,19.51,18.37
2019-09-25 07:05:44,2.19,7.09,19.51,17.85
2019-09-25 07:20:14,61.69,7.09,19.57,17.85
2019-09-25 12:11:27,0,7.13,23.95,20.78
2019-09-25 12:12:01,0,7.13,24.76,19.75
2019-09-25 12:13:09,0,7.13,25.39,20.52
2019-09-25 12:13:40,0,7.13,24.57,20.61
2019-09-25 12:14:09,0,7.13,24.14,20.52
2019-09-25 12:15:16,0,7.13,23.51,19.66
2019-09-25 12:17:40,0,7.13,23.26,21.13
2019-09-25 12:29:33,0,7.13,21.82,19.66
2019-09-25 12:30:34,0,7.13,22.14,19.40
2019-09-25 12:31:19,0,7.13,22.32,19.32
2019-09-25 12:32:21,0,7.13,22.51,19.66
2019-09-25 12:46:51,0,7.14,17.45,15.70
2019-09-25 13:01:21,0,7.16,18.45,16.04
2019-09-25 13:15:51,0,7.17,17.20,13.88
2019-09-25 13:30:21,0,8.02,17.76,15.70
2019-09-25 13:44:50,0,9.03,17.39,14.75
2019-09-25 13:59:20,0,9.01,17.57,14.83
2019-09-25 14:13:50,0,8.99,17.57,15.70
2019-09-25 14:28:20,0,9.04,17.45,15.78
2019-09-25 14:42:50,0,9.03,17.57,15.61
2019-09-25 14:57:20,0,9.01,17.57,15.26
2019-09-25 15:11:49,0,9.04,17.45,15.78
2019-09-25 15:26:19,0,9.03,17.39,15.26
2019-09-25 15:40:49,0,8.99,17.51,14.92
2019-09-25 15:55:19,0,8.99,17.57,14.92
2019-09-25 16:09:48,0,8.99,17.39,15.61
2019-09-25 16:24:18,0,9.03,17.26,14.92
2019-09-25 16:38:48,0,8.99,17.39,15.26
2019-09-25 16:53:18,0,9.01,17.20,15.44
2019-09-25 17:07:48,0,9.04,17.07,15.01
2019-09-25 17:22:18,0,9.04,17.07,15.70
2019-09-25 17:36:48,0,9.04,17.07,15.52
2019-09-25 17:51:18,0,9.03,16.95,15.26
2019-09-25 18:05:48,0,9.03,16.95,15.87
2019-09-25 18:20:19,0,9.01,16.89,16.04
2019-09-25 18:34:49,0,9.01,16.89,15.26
2019-09-25 18:49:19,0,9.04,16.82,15.35
2019-09-25 19:03:50,0,9.01,16.82,15.87
2019-09-25 19:18:20,0,9.01,16.76,15.52
2019-09-25 19:32:50,0,8.99,16.76,15.26
2019-09-25 19:47:21,0,8.99,16.70,16.04
2019-09-25 20:01:51,0,8.96,16.70,15.87
